Stname,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,New York,4329,4083,5535,5399,5100,5565,4460,4165,7794,5651,3425,4490,2998,4615,3736,4314,3882,5155,3638,4243
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina,47,41,137,156,122,49,31,53,47,96,82,88,122,180,170,230,272,295,212,334
Alabama,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,North Dakota,2,0,1,0,0,3,7,12,10,15,33,27,15,29,14,33,32,56,33,38
Alabama,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,3,Ohio,61,44,82,66,50,58,43,33,45,58,44,53,67,93,119,154,160,270,293,467
Alabama,1,4,2,3,2,0,2,2,0,0,0,0,3,0,4,3,2,4,4,3,Oklahoma,1,0,0,0,3,0,0,1,2,2,0,2,4,3,0,0,0,1,0,0
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Oregon,13,15,12,16,11,3,7,6,38,38,39,38,48,43,45,31,61,84,70,65
Alabama,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Pennsylvania,2343,2806,3989,5730,3985,4287,3242,3994,3818,5722,3805,5362,5033,5758,7487,9048,11443,11900,10208,8998
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rhode Island,675,510,852,736,249,39,308,177,210,235,181,159,217,724,904,904,903,1132,1111,971
Alabama,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,1,1,2,South Carolina,25,6,26,18,22,15,20,31,29,42,29,37,44,42,37,42,51,21,39,47
Alabama,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,South Dakota,0,0,2,1,1,2,1,0,3,1,1,4,4,4,2,5,11,12,7,10
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Tennessee,28,31,28,20,20,8,15,31,31,37,36,37,30,25,17,26,25,47,29,45
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,77,75,139,85,98,69,29,87,153,276,142,74,75,82,40,54,71,58,47,41
Alabama,0,1,3,3,0,3,4,0,2,1,0,3,5,3,5,1,1,3,7,5,Utah,3,1,5,2,1,2,5,7,5,9,3,9,5,15,13,7,19,25,27,19
Alabama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,2,Vermont,40,18,37,43,50,54,105,138,404,408,356,623,522,893,599,710,761,1092,576,1064
Alabama,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Virginia,149,156,259,195,216,274,357,959,933,908,1245,1023,1110,1307,1346,1539,1350,1657,1139,1199
Alabama,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,2,0,0,Washington,9,9,11,7,14,13,8,12,23,16,16,19,15,18,15,24,31,37,20,43
Alabama,2,3,2,0,0,0,3,0,3,0,0,0,5,5,1,5,4,3,0,2,West Virginia,35,16,26,31,38,61,28,84,135,201,145,118,97,143,136,289,368,648,671,885
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Wisconsin,631,597,1090,740,1144,1459,1466,1814,2034,2589,3488,3649,1766,1872,1361,1894,2295,3000,1869,2178
Alabama,0,2,2,0,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,3,Wyoming,3,1,2,2,4,3,1,3,3,3,0,2,4,3,3,1,1,4,0,5
Alabama,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,1,0,0,0,1,2,4,6,2,4,1,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,3,7,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alabama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,1,1,1,2,1,1,1,3,1,4,0,3,1,5,4,2,5,6,3,3,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,1,1,0,1,1,0,0,0,1,0,0,1,1,2,0,2,5,1,1,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
